Filename,Processing_Time_Sec,SSIM,PSNR,User_Rating
test_img.jpg,0.11,0.4335,12.66,Pending
test_img.jpg,N/A,N/A,N/A,thumbs_up
test_img.jpg,N/A,N/A,N/A,thumbs_up
test_img.jpg,0.05,0.4335,12.66,Pending
test_img.jpg,0.03,0.4335,12.66,Pending
test_img.jpg,0.04,0.4335,12.66,Pending
test_img.jpg,0.03,0.4335,12.66,Pending
test_img.jpg,0.03,0.4335,12.66,Pending
test_img.jpg,N/A,N/A,N/A,thumbs_down
test_img.jpg,0.12,1.0,inf,Pending
test_img.jpg,0.3,0.4702,12.46,Pending
test_img.jpg,0.2,0.4702,12.46,Pending
test_img.jpg,0.06,0.4335,12.66,Pending
test_img.jpg,0.04,0.4335,12.66,Pending
test_img.jpg,0.03,0.4335,12.66,Pending
test_img.jpg,0.06,0.4365,12.72,Pending,unet_standard
test_img.jpg,0.41,0.4702,12.46,Pending,unet_sliding
test_img.jpg,0.27,0.4702,12.46,Pending,unet_sliding
test_img.jpg,1.28,0.4702,12.46,Pending,unet_sliding
damaged_.png,6.19,0.6004,12.32,Pending,unet_sliding
damaged_.png,0.37,0.5577,14.31,Pending,unet_standard
test_img.jpg,1.31,0.4702,12.46,Pending,unet_sliding
test_img.jpg,1.23,0.4702,12.46,Pending,unet_sliding
test_img.jpg,0.17,0.4365,12.72,Pending,unet_standard
test_img.jpg,85.72,0.9367,29.09,Pending,gfpgan
damaged_.png,41.96,0.9565,30.42,Pending,gfpgan
test.jpg,38.26,0.9304,31.12,Pending,gfpgan
test.jpg,0.73,0.5058,14.33,Pending,unet_sliding
test.jpg,0.17,0.4988,13.76,Pending,unet_standard
damaged_.png,5.99,0.6004,12.32,Pending,unet_sliding
test_img.jpg,39.45,0.9368,29.08,Pending,gfpgan
test_img.jpg,30.33,0.9369,29.08,Pending,gfpgan
test_img.jpg,0.16,0.4365,12.72,Pending,unet_standard
test_img.jpg,N/A,N/A,N/A,thumbs_down,N/A
test_img.jpg,0.26,0.4365,12.72,Pending,unet_standard
test_img.jpg,0.2,0.4365,12.72,Pending,unet_standard
test_img.jpg,N/A,N/A,N/A,thumbs_down,N/A
test_img.jpg,1.46,0.4702,12.46,Pending,unet_sliding
test_img.jpg,31.42,0.9368,29.08,Pending,gfpgan
test_img.jpg,0.24,0.4365,12.72,Pending,unet_standard
damaged_.png,5.91,0.6004,12.32,Pending,unet_sliding
damaged_.png,0.39,0.5577,14.31,Pending,unet_standard
damaged_.png,43.82,0.9564,30.41,Pending,gfpgan
test_img.jpg,0.27,0.4365,12.72,Pending,unet_standard
test_img.jpg,0.26,0.4365,12.72,Pending,unet_standard
test_img.jpg,34.43,0.9365,29.07,Pending,gfpgan
